,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
4346,Santa Cruz De Salinas,MG,4359,8315.0,"Administração, defesa, educação e saúde públicas e seguridade social",13356259,66,0,1,1,0,0,0,27,1,1,0,0,0,1,0,2,2,1,0,29,0,0,0,0,0,0,0,0,0,0,279,632,0,0,0,0,2
4347,Santa Cruz Do Arari,PA,9635,6553.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,23,0,0,0,0,0,0,13,1,0,0,0,0,0,1,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,5,149,0,0,0,0,1
4348,Santa Cruz Do Capibaribe,PE,103660,12601.0,Demais serviços,122740958,2339,3,1,730,0,3,34,1126,48,86,17,9,45,34,48,5,41,40,11,58,0,0,1,72,3,4,3,3,398910758,842363017,14677,30170,0,1,0,0,1
4349,Santa Cruz Do Escalvado,MG,4981,9119.0,"Administração, defesa, educação e saúde públicas e seguridade social",14993127,50,2,0,6,0,1,1,16,6,1,0,0,0,1,4,2,2,0,1,7,0,0,0,0,0,0,0,0,0,0,838,778,0,0,0,0,1
4350,Santa Cruz Do Piauí,PI,6134,7545.0,"Administração, defesa, educação e saúde públicas e seguridade social",12666107,65,0,0,0,0,0,3,45,0,1,1,0,0,1,2,2,2,2,1,5,0,0,0,0,0,0,0,0,0,0,325,675,1,0,0,0,1
4351,Santa Cruz Do Rio Pardo,SP,46893,42022.0,Demais serviços,0,3143,1418,1,174,0,3,60,734,139,102,42,21,18,74,112,3,58,66,27,91,0,0,0,0,3,2,3,2,550293817,705187071,17026,8412,5,0,0,0,3
4352,Santa Cruz Do Sul,RS,126775,63536.0,Demais serviços,353592168,6354,27,11,522,0,12,423,2295,321,338,142,91,139,377,669,10,197,237,121,421,0,1,2,152,6,9,3,3,1021014363,11556673614,55366,20575,136,1,1,0,8
4353,Santa Cruz Do Xingu,MT,2353,40460.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,37,7,0,0,0,1,1,18,1,0,1,0,0,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,102,437,0,0,0,0,1
4354,Santa Cruz Dos Milagres,PI,3940,7920.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,30,0,0,1,0,0,2,17,1,1,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,106,439,1,0,0,0,1
4355,Santa Efigênia De Minas,MG,4604,8196.0,"Administração, defesa, educação e saúde públicas e seguridade social",12729951,43,0,0,0,0,1,4,31,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,493,1001,0,0,0,0,1
4356,Santa Ernestina,SP,5672,15710.0,Demais serviços,15769801,185,24,0,6,0,0,3,82,32,10,3,0,0,5,3,2,5,1,2,7,0,0,0,0,0,1,0,1,0,91374997,1908,513,0,0,0,0,1
4357,Santa Filomena,PI,6155,14638.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,67,4,4,2,0,0,0,44,5,2,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,55,633,0,0,0,0,1
4358,Santa Filomena,PE,14265,5795.0,"Administração, defesa, educação e saúde públicas e seguridade social",33436940,97,0,0,2,0,0,1,29,0,0,0,0,0,0,1,4,14,0,0,46,0,0,0,0,0,0,0,0,0,0,399,1789,0,0,0,0,1
4359,Santa Filomena Do Maranhão,MA,7645,5336.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,10,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,143,728,0,0,0,0,1
4360,Santa Fé,PR,11562,20214.0,Demais serviços,28082454,454,5,0,51,1,1,22,197,33,30,10,4,1,31,18,2,12,11,5,20,0,0,0,0,2,1,2,1,65307885,100291701,3747,1756,2,0,0,0,1
4361,Santa Fé De Goiás,GO,5253,39387.0,Indústrias de transformação,0,105,5,0,7,0,0,2,56,6,7,2,0,1,3,4,2,2,1,0,7,0,0,1,28,0,0,0,0,0,0,781,1056,0,0,0,0,1
4362,Santa Fé De Minas,MG,3997,9384.0,"Administração, defesa, educação e saúde públicas e seguridade social",12731592,54,5,0,1,0,0,1,18,0,2,0,0,0,0,1,2,1,0,0,23,0,0,0,0,0,0,0,0,0,0,153,219,0,0,0,0,1
4363,Santa Fé Do Araguaia,TO,7318,15715.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,68,0,0,4,0,0,0,41,0,0,0,0,0,5,1,3,3,1,1,9,0,0,0,0,0,0,0,0,0,0,336,976,0,0,0,0,1
4364,Santa Fé Do Sul,SP,31578,30258.0,Demais serviços,121174747,1507,21,0,101,0,3,45,741,70,137,23,15,17,53,67,3,46,87,15,63,0,0,1,110,3,2,2,2,490943843,670163029,13939,6893,0,0,0,0,1
4365,Santa Gertrudes,SP,25192,51605.0,Indústrias de transformação,83106662,561,2,6,77,0,1,11,248,84,25,3,2,9,18,30,2,9,5,5,24,0,0,0,0,2,3,2,2,140335591,312804337,8743,4479,1,0,0,0,1
4366,Santa Helena,SC,2288,28855.0,"Pecuária, inclusive apoio à pecuária",11236289,102,4,0,10,0,0,1,26,16,3,0,1,1,3,1,2,2,0,7,25,0,0,0,0,0,0,0,0,0,0,952,522,0,0,0,0,1
